ts,bytes,event_id
1,7062547.0,1
2,7062550.0,1
3,7062550.0,1
4,7062548.0,1
5,7062551.0,1
6,7062547.0,1
7,7062549.0,1
8,7062549.0,1
9,7062551.0,1
10,7062550.0,1
11,7062550.0,1
12,7062550.0,1
13,7062548.0,1
14,7062549.0,1
15,7062550.0,1
16,7062548.0,1
17,7062551.0,1
18,7062550.0,1
19,7062548.0,1
20,7062550.0,1
21,7062548.0,1
22,7062552.0,1
23,7062551.0,1
24,7062547.0,1
25,7062550.0,1
26,7062550.0,1
27,7062548.0,1
28,7062551.0,1
29,7062547.0,1
30,7062550.0,1
31,7062548.0,1
32,7062550.0,1
33,7062550.0,1
34,7062550.0,1
35,7062548.0,1
36,7062552.0,1
37,7062547.0,1
38,7062550.0,1
39,7062548.0,1
40,7062550.0,1
41,7062548.0,1
42,7062550.0,1
43,7062550.0,1
44,7062548.0,1
45,7062550.0,1
46,7062548.0,1
47,7062551.0,1
48,7062547.0,1
49,7062550.0,1
50,7062550.0,1
51,7062550.0,1
52,7062548.0,1
53,7062550.0,1
54,7062547.0,1
55,7062550.0,1
56,7062547.0,1
57,7062551.0,1
58,7062547.0,1
59,7062551.0,1
60,7062550.0,1
61,7062550.0,1
62,7062550.0,1
63,7062550.0,1
64,7062550.0,1
65,7062548.0,1
66,7062549.0,1
67,7062548.0,1
68,7062550.0,1
69,7062548.0,1
70,7062550.0,1
71,7062547.0,1
72,7062553.0,1
73,7062551.0,1
74,7062549.0,1
75,7062548.0,1
76,7062550.0,1
77,7062550.0,1
78,7062550.0,1
79,7062550.0,1
80,7062549.0,1
81,7062550.0,1
82,7062549.0,1
83,7062552.0,1
84,7062547.0,1
85,7062550.0,1
86,7062548.0,1
87,7062549.0,1
88,7062551.0,1
89,7062547.0,1
90,7062550.0,1
91,7062548.0,1
92,7062549.0,1
93,7062548.0,1
94,7062551.0,1
95,7062548.0,1
96,7062549.0,1
97,7062551.0,1
98,7062550.0,1
99,7062548.0,1
100,7062550.0,1
101,7062548.0,1
102,7062550.0,1
103,7062548.0,1
104,7062550.0,1
105,7062550.0,1
106,7062550.0,1
107,7062550.0,1
108,7062551.0,1
109,7062549.0,1
110,7062548.0,1
111,7062551.0,1
112,7062549.0,1
113,7062549.0,1
114,7062550.0,1
115,7062550.0,1
116,7062548.0,1
117,7062550.0,1
118,7062550.0,1
119,7062548.0,1
120,7062550.0,1
121,7062547.0,1
122,7062549.0,1
123,7062551.0,1
124,7062548.0,1
125,7062551.0,1
126,7062550.0,1
127,7062550.0,1
128,7062550.0,1
129,7062548.0,1
130,7062550.0,1
131,7062548.0,1
132,7062550.0,1
133,7062548.0,1
134,7062552.0,1
135,7062547.0,1
136,7062551.0,1
137,7062550.0,1
138,7062547.0,1
139,7062549.0,1
140,7062550.0,1
141,7062547.0,1
142,7062550.0,1
143,7062548.0,1
144,7062550.0,1
145,7062550.0,1
146,7062552.0,1
147,7062547.0,1
148,7062551.0,1
149,7062548.0,1
